Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Ceiling Ht,Owner Contact
100-404 Cavalier Sq,Cavalier Square,Retail (Community Center),3,,,B,Existing,264589,88029,$10.00 - 18.00,,Richmond,Hopewell,Cavalier Square Leasing Office,Susan Davis,TriCities,Hopewell,VA,23860,Hopewell City,,,,N,,,66.73,1967,1991,264589,4.57,Multi,01/01/1900,,,,No,100-year and 500-year Floodplain,,Amy Ramsey
5206-5246 Chamberlayne Rd,,Retail (Community Center),3,,,C,Existing,87500,21288,$15.00,,Richmond,Laburnum/Rte 360,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northeast,Richmond,VA,23227,Henrico,,,,N,3/30/2012,"4,818,584",97.62,1960,1983,87500,4.00,Multi,04/02/2009,5101290027D,51087C,0027D,No,100-year and 500-year Floodplain,"16'0""",Jonathan Cutler
9031 W Broad St,West Broad Commons,Retail (Neighborhood Center),4,,,A,Existing,105927,10018,$19.65 - 24.02 (Est.),,Richmond,Broad St Corridor,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northwest,Richmond,VA,23294-5840,Henrico,,,,N,12/12/2016,"8,400,000",97.43,1996,,105927,4.37,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,Michael Jacoby
4711 W Broad St,,Retail,3,,,B,Existing,6000,600,$168.00,Freestanding,Richmond,Willowlawn,ChefSuite,Samira Modaressi,Northwest,Richmond,VA,23230,Richmond City,,,,N,6/29/2021,"1,200,000",90.00,1996,,6000,5.17,Multi,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,
3621 Cox Rd,Shoppes at Twin Oaks - Building B,Retail (Strip Center),3,,,B,Existing,11869,2606,$20.00,Storefront,Richmond,Broad St Corridor,,,Northwest,Henrico,VA,23233-1335,Henrico,,,,N,2/12/2016,"3,230,501",78.04,2006,,11869,4.47,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,"11'0""",Chris Good
414-424 N 2nd St,,Retail,2,,,C,Existing,4200,750,$17.00,,Richmond,Downtown,"Pollard & Bagby, Inc.",Tony Rolando,Downtown,Richmond,VA,23219-1704,Richmond City,,,,N,,,100.00,1900,,4200,,,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,"10'0""",Julia Thornton
3 N 17th St,,Retail,2,,,C,Existing,3960,902,$39.91,Restaurant,Richmond,Downtown,One South Commercial,Ann Schweitzer Riley,Downtown,Richmond,VA,23219-3607,Richmond City,,,,N,4/13/2018,"525,000",77.22,1833,,686,,Multi,07/16/2014,5101290041D,510129,0041D,Yes,100-year Floodplain,,David Levine
17 1/2 N 17th St,,Retail,2,,,C,Existing,1690,845,$22.00,Storefront Retail/Office,Richmond,Downtown,,,Downtown,Richmond,VA,23219,Richmond City,,,,N,,,50.00,1924,,845,,Multi,07/16/2014,5101290041D,510129,0041D,Yes,100-year Floodplain,,
1801 N 22nd St,,Retail,3,,,,Existing,1445,1445,$16.00,,Richmond,East End,,,Southeast,Richmond,VA,23223-4433,Richmond City,,,,N,,,0.00,1944,,723,,,,,,,No,,,
1301 N 30th St,,Retail,3,,,,Existing,1676,840,$19.00,,Richmond,East End,,,Southeast,Richmond,VA,23223-6670,Richmond City,,,,N,,,49.88,1922,2022,838,,,04/02/2009,5101290042D,510129,0042D,No,100-year and 500-year Floodplain,,
1301 N 32nd St,,Retail,3,,,B,Existing,3130,1006,$19.00,Storefront,Richmond,East End,,,Southeast,Richmond,VA,23223-6713,Richmond City,,,,N,,,67.86,2023,,1565,,Multi,04/02/2009,5101290042D,510129,0042D,No,100-year and 500-year Floodplain,,
304 N Adams St,,Retail,2,,,C,Existing,1000,1000,$17.94,,Richmond,Downtown,,,Downtown,Richmond,VA,23220-4261,Richmond City,,,,N,,,0.00,1985,,1000,,,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
1101-1135 Alverser Dr,Huguenot Trade Center,Retail (Neighborhood Center),3,,,B,Existing,46343,9870,$14.00,Retail Building,Richmond,Midlothian West,"CH & B Associates, LLC",Lawrence Fleder,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,84.74,1986,,46343,2.70,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Kim Calantropo
9158 Atlee Rd,Retail Building 1,Retail (Strip Center),2,,,C,Existing,4970,4970,$22.00,Restaurant,Richmond,I-95 Chamberlayne/NE,,,Northeast,Mechanicsville,VA,23116,Hanover,,,,N,,,0.00,2012,,4970,6.84,Single,12/02/2008,51085C0320B,51085C,0320B,No,100-year and 500-year Floodplain,,Trey Morgan
1201-1205 Bellevue Ave,,Retail,2,,,C,Existing,13804,4360,$15.00,Storefront,Richmond,Laburnum/Rte 360,"Pollard & Bagby, Inc.",Tony Rolando,Northeast,Richmond,VA,23227,Richmond City,,,,N,,,100.00,1927,,13804,4.64,Multi,04/02/2009,5101290029D,510129,0029D,No,100-year and 500-year Floodplain,,Pamela Saunders
2824 E Broad St,,Retail,2,,,C,Existing,5819,1170,$33.00,Restaurant,Richmond,East End,,,Southeast,Richmond,VA,23223,Richmond City,One South Commercial,Ann Schweitzer Riley,1050000,Y,11/4/2019,"875,000",59.27,1914,,2910,0.00,Multi,07/16/2014,5101290043D,510129,0043D,No,100-year and 500-year Floodplain,,Colin Bixler
414 W Broad St,,Retail,2,,,C,Existing,3334,1100,$12.00,Storefront,Richmond,Downtown,One South Commercial,Ann Schweitzer Riley,Downtown,Richmond,VA,23220,Richmond City,,,,N,9/15/2008,"360,000",67.01,1920,2007,1667,0.00,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,Wendy Wyne
10069 Brook Rd,Capri Commons,Retail (Strip Center),3,,,B,Existing,3936,3936,$15.00,Freestanding,Richmond,Staples Mill/Parham,Malli Gurram,Malli Gurram,Northwest,Glen Allen,VA,23059,Henrico,,,,N,7/29/2020,"243,172",100.00,1998,,3936,9.40,Multi,12/02/2008,51085C0315B,51087C,0315B,No,100-year and 500-year Floodplain,,
1209 E Cary St,,Retail,2,,,B,Existing,10810,2000,$10.00,Restaurant,Richmond,Downtown,The Hogan Group,Rob Heim,Downtown,Richmond,VA,23219,Richmond City,,,,N,,,81.50,1870,,1867,,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,"10'0""",
1301-1307 E Cary St,Columbian Block,Retail,2,,,B,Existing,18486,2914,$15.00,Storefront Retail/Office,Richmond,Downtown,Joyner Commercial,Bill Phillips,Downtown,Richmond,VA,23219,Richmond City,,,,N,,,84.24,1877,,6167,,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,Patricia Asch
6401-6535 Centralia Rd,Chesterfield Meadows Shopping Center,Retail (Community Center),3,,,B,Existing,115375,52143,$12.00 - 15.00,,Richmond,South Chesterfield,S.L. Nusbaum Realty Co.,Andrew Thacker,Southwest,Chesterfield,VA,23832-6556,Chesterfield,,,,N,,,90.21,1987,,115375,4.87,Multi,12/18/2012,51041C0326D,51041C,0326D,No,100-year and 500-year Floodplain,,Susan Heath
2401-2431 Charter Colony Pky,Shops at Colony Crossing,Retail (Neighborhood Center),3,,,B,Existing,16400,1387,$18.50,Freestanding,Richmond,Swift Creek,"SugarOak Realty, LLC",Andy Walsh,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,9/25/2019,"2,375,000",91.54,2006,,16400,5.00,,12/18/2012,51041C0109D,51041C,0109D,No,100-year and 500-year Floodplain,,Philip Nickles
7000-7048 Commons Plz,,Retail (Neighborhood Center),3,,,C,Existing,60778,3000,$22.00,Retail Building,Richmond,South Chesterfield,Taylor Long Properties Inc.,Ellen Long,Southwest,Chesterfield,VA,23832,Chesterfield,,,,N,,,95.06,2000,,60778,6.58,Multi,12/18/2012,51041C0307D,51041C,0307D,No,100-year and 500-year Floodplain,,John Fagelson
1 S Crater Rd,,Retail,2,,,B,Existing,1068,1068,$56.40,Service Station,Richmond,Petersburg,TBA RVA Realty Inc,Rupesh Bharad,TriCities,Petersburg,VA,23803-4419,Petersburg,TBA RVA Realty Inc,Rupesh Bharad,749700,Y,3/24/2021,"600,000",0.00,1985,,1068,,Single,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,Harjot Singh
